factype,id,length,aadt,num_years,obs_kabco,obs_years,cf_total,lane_width,shld_type,shld_width,curve_radius,curve_length,spiral_transition,se_var,rhr,rumble_cl,twltl,ase,passing_lanes,lighting,dwy_density,grade,median_width,sideslope
rtl_seg,1163,0.17,788,5,3,5,1,12,paved,8,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,1181,0.19,788,5,2,5,1,12,paved,8,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,1190,0.21,810,5,3,5,1,12,paved,7,0,0,0,0,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,1230,0.57,1018,5,8,5,1,12,composite,5,0,0,0,0,3,0,0,0,0,0,5.274677038,1.5,0,8
rtl_seg,1236,0.52,1000,5,8,5,1,12,composite,5,0,0,0,0,4,0,0,0,0,0,7.665581782,1.5,0,8
rtl_seg,1251,0.15,2168,5,1,5,1,12,composite,6,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,1321,0.2,1030,5,1,5,1,12,composite,5,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,1322,0.4,672,5,1,5,1,12,composite,5,0,0,0,0,2,0,0,0,0,0,4.945046388,1.5,0,8
rtl_seg,1328,0.46,672,5,0,5,1,12,composite,5,0,0,0,0,4,0,0,0,0,0,4.305771857,1.5,0,8
rtl_seg,1330,0.34,570,5,1,5,1,12,composite,5,0,0,0,0,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,1335,0.19,570,5,1,5,1,12,composite,5,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,1336,0.3,570,5,0,5,1,12,composite,5,0,0,0,0,4,0,0,0,0,0,6.704703728,1.5,0,8
rtl_seg,1344,0.52,2000,5,2,5,1,12,composite,8,0,0,0,0,3,0,0,0,0,0,5.73610344,1.5,0,8
rtl_seg,1367,0.35,3616,5,7,5,1,12,composite,8,0,0,0,0,2,0,0,0,0,0,2.897798975,4.5,0,8
rtl_seg,1369,0.17,3616,5,0,5,1,12,composite,8,0,0,0,0,2,0,0,0,0,0,0,4.5,0,8
rtl_seg,1379,0.53,3616,5,12,5,1,12,paved,8,0,0,0,0,3,1,0,0,0,0,7.61641689,1.5,0,8
rtl_seg,1387,0.13,4720,5,8,5,1,12,composite,5.5,0,0,0,0,3,1,0,0,0,0,7.964867316,1.5,0,8
rtl_seg,1397,0.26,2900,5,2,5,1,12,composite,7,0,0,0,0,3,0,0,0,0,0,15.50595508,1.5,0,8
rtl_seg,1417,0.25,1490,5,1,5,1,12,composite,8,0,0,0,0,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,1476,0.21,660,5,2,5,1,12,composite,6,0,0,0,0,3,0,0,0,0,0,4.865573187,1.5,0,8
rtl_seg,1515,0.34,3350,5,0,5,1,12,composite,8,0,0,0,0,2,0,0,0,0,0,17.44603403,1.5,0,8
rtl_seg,1523,0.27,5520,5,1,5,1,12,composite,8,0,0,0,0,2,0,0,0,0,1,37.52512815,1.5,0,8
rtl_seg,1558,0.27,778,5,0,5,1,12,composite,2,0,0,0,0,3,0,0,0,0,0,3.738532283,1.5,0,8
rtl_seg,1595,0.42,4910,5,3,5,1,12,composite,8,0,0,0,0,2,0,0,0,0,0,2.393635442,1.5,0,8
rtl_seg,1605,0.81,5720,5,4,5,1,12,composite,8,0,0,0,0,2,0,0,0,0,0,6.20771877,1.5,0,8
rtl_seg,1637,0.1,1710,5,0,5,1,12,composite,4,0,0,0,0,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,1650,0.14,370,5,1,5,1,12,composite,2,0,0,0,0,5,0,0,0,0,0,0,1.5,0,8
rtl_seg,1666,0.71,2660,5,4,5,1,12,composite,6,0,0,0,0,2,0,0,0,0,0,1.41506788,1.5,0,8
rtl_seg,1682,0.1,450,5,2,5,1,12,composite,3.5,0,0,0,0,4,0,0,0,0,0,9.796153905,4.5,0,8
rtl_seg,1757,0.3,4650,5,4,5,1,12,composite,8,0,0,0,0,3,0,0,0,0,0,6.595989755,4.5,0,8
rtl_seg,1763,0.27,4650,5,4,5,1,12,composite,8,0,0,0,0,3,0,0,0,0,0,7.331596536,1.5,0,8
rtl_seg,1777,0.11,4030,5,0,5,1,12,composite,8,0,0,0,0,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,1797,0.22,1934,5,1,5,1,12,composite,7,0,0,0,0,2,0,0,0,0,0,9.299126056,4.5,0,8
rtl_seg,1811,0.1,1934,5,1,5,1,12,composite,7,0,0,0,0,3,0,0,0,0,0,0,4.5,0,8
rtl_seg,1820,0.22,1076,5,2,5,1,12,composite,3,0,0,0,0,3,0,0,0,0,0,9.119304766,1.5,0,8
