factype,id,length,aadt,num_years,obs_kabco,obs_years,cf_total,lane_width,shld_type,shld_width,curve_radius,curve_length,spiral_transition,se_var,rhr,rumble_cl,twltl,ase,passing_lanes,lighting,dwy_density,grade,median_width,sideslope,spf_kabco,af_lane_width,af_shld,af_hor_curve,af_se_var,af_grade,af_dwy_density,af_rumble_cl,af_passing_lanes,af_twltl,af_rhr,af_lighting,af_ase,af_total,pred_kabco,exp_kabco,spf_kabc,spf_kab,spf_o,af_sideslope,af_median_width
rtl_seg,338,0.22,1860,5.0,1,5,1.0,12,composite,8.0,3299.245464,0.224951313,0.0,0.06,3,0,0,0,0,0,8.890812734,1.5,0,8,0.10932729709312432,1.0,0.961199035,1.07128618297792,1.18,1.0,1.1252866866346556,1.0,1.0,1.0,1.0,1.0,1.0,1.3673006420779559,0.7474164175603816,0.8598139467457777,,,,,
rtl_seg,344,0.11,1490,5.0,1,5,1.0,12,composite,8.0,1595.104999,0.108691755,0.0,0.06,3,0,0,0,0,0,18.40065971,1.5,0,8,0.04378969695396646,1.0,0.9766762275,1.2984398361181708,1.18,1.0,1.4635352224606348,1.0,1.0,1.0,1.0,1.0,1.0,2.1900681758170504,0.4795121086377738,0.743446756556155,,,,,
rtl_seg,387,0.11,772,5.0,1,5,1.0,12,composite,6.0,661.41406,0.112538993,0.0,0.06,3,0,0,0,0,0,8.885809052,1.5,0,8,0.022688353052659132,1.0,1.02296,1.7111751323695088,1.18,1.0,1.160450912132247,1.0,1.0,1.0,1.0,1.0,1.0,2.3969661111978584,0.27191606693058207,0.5401721031815641,,,,,
rtl_seg,399,0.3,1340,5.0,4,5,1.0,12,composite,7.0,3048.497495,0.296616369,0.0,0.06,3,0,0,0,0,0,0.0,1.5,0,8,0.10740364963694031,1.0,1.02296,1.0572218261290063,1.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2761648543231754,0.6853238144635165,1.8463841877550289,,,,,
rtl_seg,668,0.13,1210,5.0,0,5,1.0,12,gravel,3.0,619.8490772,0.126278174,0.0,0.06,2,0,0,0,0,0,7.919024895,1.5,0,8,0.042026353452464464,1.0,1.1134730842000002,1.6610410320970723,1.18,1.0,1.1073389348640617,1.0,1.0,1.0,0.9353822590821951,1.0,1.0,2.2605378875653392,0.47501082127754163,0.25506301272480264,,,,,
rtl_seg,687,0.24,2010,5.0,1,5,1.0,12,composite,6.5,1222.74608,0.244945367,0.0,0.06,3,0,0,0,0,0,4.082543023,1.5,0,8,0.12888437956432836,1.0,1.02296,1.1763173903198794,1.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4199242523699163,0.9150302814751974,0.955273911448492,,,,,
rtl_seg,688,0.23,2010,5.0,2,5,1.0,12,composite,6.5,1342.454087,0.227020586,0.0,0.06,2,0,0,0,0,0,8.80977376,1.5,0,8,0.12351419708248135,1.0,1.02296,1.1697766611106406,1.18,1.0,1.1194310824417308,1.0,1.0,1.0,0.9353822590821951,1.0,1.0,1.478529866713593,0.9130971467479881,1.4388490510062137,,,,,
rtl_seg,696,0.22,1960,5.0,1,5,1.0,12,composite,8.0,2509.950933,0.22401101,0.0,0.06,2,0,0,0,0,0,4.464066305,1.5,0,8,0.11520510876479767,1.0,0.9570160099999999,1.093703272340335,1.18,1.0,1.0,1.0,1.0,1.0,0.9353822590821951,1.0,1.0,1.155286904759781,0.665474767586985,0.8048132822048952,,,,,
rtl_seg,708,0.13,2260,5.0,1,5,1.0,12,gravel,5.0,1547.017785,0.127900615,0.0,0.06,4,0,0,0,0,1,7.818570709,4.5,0,8,0.07849550314261956,1.0,1.092701,1.2615018290502502,1.18,1.1,1.0846816370508319,1.0,1.0,1.0,1.0690816404634493,0.9215525999999999,1.0,1.9120410216697694,0.7504331101264845,0.8943553833036539,,,,,
rtl_seg,728,0.1,2100,5.0,1,5,1.0,12,gravel,6.0,1179.783476,0.103769406,0.0,0.06,2,0,0,0,0,0,0.0,4.5,0,8,0.05610638413870016,1.0,1.01148,1.4385714543087138,1.18,1.1,1.0,1.0,1.0,1.0,0.9353822590821951,1.0,1.0,1.7666583046524558,0.4956040474132773,0.7675193527537072,,,,,
rtl_seg,731,0.11,2100,5.0,0,5,1.0,12,gravel,6.0,1602.39838,0.1064675,0.0,0.06,2,0,0,0,0,0,0.0,4.5,0,8,0.06171702255257018,1.0,1.01148,1.303287922708701,1.18,1.1,1.0,1.0,1.0,1.0,0.9353822590821951,1.0,1.0,1.600521423604219,0.49389708398226656,0.23979850080872916,,,,,
rtl_seg,745,0.31,2100,5.0,1,5,1.0,12,gravel,6.0,3586.351805,0.311578708,0.0,0.06,5,0,0,0,0,0,0.0,4.5,0,8,0.1739297908299705,1.0,1.01148,1.0465401829988092,1.18,1.1,1.0,1.0,1.0,1.0,1.1429355539760198,1.0,1.0,1.5703976739223844,1.3656946947259627,1.1792893366104016,,,,,
rtl_seg,766,0.13,3600,5.0,1,5,1.0,12,gravel,4.0,1175.833412,0.131819725,0.0,0.06,2,0,0,0,0,0,0.0,1.5,0,8,0.12503708465196037,1.0,1.092701,1.3384959844443243,1.18,1.0,1.0,1.0,1.0,1.0,0.9353822590821951,1.0,1.0,1.6143197090877326,1.0092491506026542,1.0032657407674666,,,,,
rtl_seg,799,0.18,1910,5.0,2,5,1.0,12,gravel,7.0,1112.457371,0.175679274,0.0,0.06,4,0,0,0,0,0,0.0,1.5,0,8,0.09185416603278626,1.0,1.01148,1.2647517040744505,1.18,1.0,1.0,1.0,1.0,1.0,1.0690816404634493,1.0,1.0,1.61382133201147,0.7411810628891692,1.3615794575211653,,,,,
rtl_seg,801,0.28,3012,5.0,7,5,1.0,12,gravel,7.0,10615.32202,0.281678673,0.0,0.06,3,0,0,0,0,0,3.55014453,1.5,0,8,0.22532323870101986,1.0,1.01148,1.017408103718375,1.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2143237795238933,1.3680768341699339,4.384264266196745,,,,,
rtl_seg,845,0.12,2660,5.0,0,5,1.0,12,gravel,8.0,1438.851791,0.115257424,0.0,0.06,2,1,0,0,0,0,0.0,1.5,0,8,0.08528170389082425,1.0,0.9353676,1.312002231015646,1.18,1.0,1.0,0.94,1.0,1.0,0.9353822590821951,1.0,1.0,1.2732564516863443,0.542927398448982,0.26256825220994906,,,,,
rtl_seg,886,0.1,1544,5.0,4,5,1.0,12,gravel,4.0,2028.979669,0.103280701,0.0,0.06,3,0,0,0,0,0,0.0,1.5,0,8,0.04125155100483478,1.0,1.071221633,1.2550145586691484,1.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5863905190720802,0.3272053470554412,1.9275560996384054,,,,,
rtl_seg,897,0.19,652,5.0,1,5,1.0,12,gravel,1.0,1586.407489,0.193627506,0.0,0.06,3,0,0,0,0,0,5.164555484,4.5,0,8,0.03309742317667703,1.0,1.093562,1.171662059161459,1.18,1.1,1.007063774934728,1.0,1.0,1.0,1.0,1.0,1.0,1.674855887023485,0.27716707026382525,0.4622861732843745,,,,,
rtl_seg,948,0.15,2710,5.0,5,5,1.0,12,gravel,6.0,1697.267201,0.151688371,0.0,0.06,4,0,0,0,0,0,13.18492639,1.5,0,8,0.10860592929705531,1.0,1.01148,1.2032362590615688,1.18,1.0,1.2290418050042673,1.0,1.0,1.0,1.0690816404634493,1.0,1.0,1.8869819446242955,1.024687138313431,3.478159492493692,,,,,
rtl_seg,952,0.16,3410,5.0,1,5,1.0,12,gravel,6.0,1133.23826,0.161055834,0.0,0.06,4,0,0,0,0,0,6.209026875,1.5,0,8,0.14576972945749908,1.0,1.01148,1.2853654947850008,1.18,1.0,1.0305920298838736,1.0,1.0,1.0,1.0690816404634493,1.0,1.0,1.6902992366141654,1.2319723121173205,1.0823426362913067,,,,,
rtl_seg,973,0.3,760,5.0,5,5,1.0,12,composite,3.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0.0,4.5,0,8,0.06091550277916018,1.0,1.0826041104,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0690816404634493,1.0,1.0,1.2731313961507957,0.3877671955022994,1.465839867696882,,,,,
rtl_seg,975,0.21,760,5.0,0,5,1.0,12,composite,3.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0.0,4.5,0,8,0.042640851945412124,1.0,1.0826041104,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0690816404634493,1.0,1.0,1.2731313961507957,0.2714370368516096,0.2079907920380711,,,,,
rtl_seg,981,0.14,760,5.0,1,5,1.0,12,composite,3.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0.0,4.5,0,8,0.028427234630274745,1.0,1.0826041104,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.1429355539760198,1.0,1.0,1.361081401522414,0.19345890175990424,0.39180219977600017,,,,,
rtl_seg,983,0.3,760,5.0,4,5,1.0,12,composite,3.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,3.304889904,4.5,0,8,0.06091550277916018,1.0,1.0826041104,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0690816404634493,1.0,1.0,1.2731313961507957,0.3877671955022994,1.2320978347398117,,,,,
rtl_seg,1016,0.51,3100,5.0,1,5,1.0,12,composite,8.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,11.68828449,1.5,0,8,0.4224009205870712,1.0,0.9553428,1.0,1.0,1.0,1.1767375823285167,1.0,1.0,1.0,1.0,1.0,1.0,1.1241877767669557,2.3742897590954746,1.654831889770767,,,,,
rtl_seg,1018,0.14,3100,5.0,3,5,1.0,12,composite,8.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,29.25217465,1.5,0,8,0.11595319388664702,1.0,0.9553428,1.0,1.0,1.0,1.6408624992340808,1.0,1.0,1.0,1.0,1.0,1.0,1.5675861744332846,0.9088331180904496,2.1741154612609703,,,,,
rtl_seg,1039,0.41,4284,5.0,7,5,1.0,12,composite,7.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,14.77162731,1.5,0,8,0.4692737969360881,1.0,1.02296,1.0,1.0,1.0,1.2204209389554432,1.0,1.0,1.0,1.0,1.0,1.0,1.2484418037138603,2.929305127412708,5.484554040347039,,,,,
rtl_seg,1068,0.23,320,5.0,1,5,1.0,12,composite,3.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,4.5,0,8,0.01966395177432539,1.0,1.0524636,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1577099600000003,0.11382576411048091,0.2065024187509037,,,,,
rtl_seg,1090,0.17,366,5.0,1,5,1.0,12,composite,5.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,4.5,0,8,0.01662352010052345,1.0,1.0290444,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1319488400000002,0.09408487147252104,0.19873911012126702,,,,,
rtl_seg,1128,0.67,2018,5.0,3,5,1.0,12,composite,7.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,5.973435711,1.5,0,8,0.361234274945576,1.0,1.02296,1.0,1.0,1.0,1.0304731433134922,1.0,1.0,1.0,1.0,1.0,1.0,1.0541328066839701,1.9039445005941447,2.3439320015218073,,,,,
rtl_seg,1131,0.12,2030,5.0,0,5,1.0,12,composite,7.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,1.5,0,8,0.06508340560089218,1.0,1.02296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02296,0.3328886029674433,0.20117993693585495,,,,,
rtl_seg,1137,0.4,5956,5.0,4,5,1.0,12,composite,5.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,1.5,0,8,0.6365135693906632,1.0,1.1059029999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1059029999999999,3.5196113296492126,3.8438557993248423,,,,,
